Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
129,PTCIL.NS,BOUGHT,2025-01-20,16502.1,1,Entry,70.41,24.81,16.38,121.42,97.0,15395.61,Up,,,
130,LLOYDSME.NS,BOUGHT,2025-01-15,1432.12,11,Entry,68.05,41.96,89.8,115.99,99.0,1307.42,Up,,,
131,GVT&D.NS,SOLD,2025-01-15,1897.17,9,"Close < ST(15,3) (T-1)",56.06,7.31,56.22,179.77,99.0,1662.45,Up,3.72,612.6,75.0
132,VIJAYA.NS,BOUGHT,2025-01-14,1211.18,13,Entry,63.27,21.76,51.43,82.18,96.0,1077.53,Up,,,
133,CHOICEIN.NS,SOLD,2025-01-14,500.48,31,"Close < ST(15,3) (T-1)",61.56,34.11,59.56,90.28,97.0,491.21,Up,-5.68,-934.8,57.0
134,KFINTECH.NS,SOLD,2025-01-14,1263.65,11,"Close < ST(15,3) (T-1)",56.76,43.75,92.23,128.42,99.0,1354.22,Up,-13.58,-2183.77,5.0
135,TARIL.NS,SOLD,2025-01-14,507.45,29,"Close < ST(15,3) (T-1)",76.76,84.53,49.17,245.18,99.0,517.69,Up,-9.92,-1620.45,26.0
136,ZENTEC.NS,SOLD,2025-01-14,2084.77,6,Stoploss 15%,63.84,47.3,70.56,159.66,99.0,2231.37,Up,-15.85,-2355.31,7.0
137,ANANTRAJ.NS,BOUGHT,2025-01-13,883.5,18,Entry,62.65,17.19,75.33,168.43,99.0,820.54,Up,,,
138,PGEL.NS,SOLD,2025-01-13,860.13,25,"Close < ST(15,3) (T-1)",56.03,49.94,208.84,230.54,99.0,588.57,Up,31.69,5174.46,61.0
139,KFINTECH.NS,BOUGHT,2025-01-09,1462.17,11,Entry,56.76,43.75,92.23,128.42,99.0,1354.22,Up,,,
140,PAYTM.NS,SOLD,2025-01-09,895.5,21,"Close < ST(15,3) (T-1)",55.41,36.85,128.84,86.71,96.0,724.51,Up,13.22,2195.87,51.0
141,ZENTEC.NS,BOUGHT,2025-01-07,2477.32,6,Entry,63.84,47.3,70.56,159.66,99.0,2231.37,Up,,,
142,BSE.NS,SOLD,2025-01-07,1688.18,11,"Close < ST(15,3) (T-1)",56.02,77.59,33.44,88.24,97.0,1347.21,Up,17.39,2750.31,69.0
143,TARIL.NS,BOUGHT,2024-12-19,563.33,29,Entry,76.76,84.53,49.17,245.18,99.0,517.69,Up,,,
144,DEEPAKFERT.NS,SOLD,2024-12-19,1184.05,12,"Close < ST(15,3) (T-1)",58.65,34.93,132.01,144.58,99.0,1155.48,Up,-8.17,-1264.38,31.0
