Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
ONGC,Oil Gas & Consumable Fuels,16.2,16.2,0.8,9.52
OIL,Oil Gas & Consumable Fuels,-10.7,-10.7,-0.1,21.56
OLAELEC,Automobile and Auto Components,,,-55.0,-93.83
OLECTRA,Automobile and Auto Components,0.2,0.2,28.8,12.11
PAYTM,Financial Services,,,20.0,1.05
ONESOURCE,Healthcare,,,-26.0,-18.02
OFSS,Information Technology,12.6,12.6,14.6,40.89
POLICYBZR,Financial Services,164.7,164.7,37.1,7.06
PCBL,Chemicals,-97.8,-97.8,-8.2,6.56
PGEL,Consumer Durables,56.7,56.7,45.9,6.72
PIIND,Chemicals,-16.5,-16.5,-27.6,14.31
PNBHOUSING,Financial Services,7.7,7.7,10.6,73.59
PTCIL,Capital Goods,28.9,28.9,132.4,9.85
PVRINOX,Media Entertainment & Publication,166.6,166.6,9.5,16.23
PAGEIND,Textiles,-7.4,-7.4,5.6,21.02
PATANJALI,Fast Moving Consumer Goods,60.0,60.0,15.2,3.55
PERSISTENT,Information Technology,17.8,17.8,23.4,16.75
PETRONET,Oil Gas & Consumable Fuels,-3.6,-3.6,-8.7,10.23
PFIZER,Healthcare,11.2,11.2,19.9,33.17
PHOENIXLTD,Realty,4.2,4.2,15.0,50.84
PIDILITIND,Chemicals,11.9,11.9,10.1,21.39
PPLPHARMA,Healthcare,,,-2.9,-0.8
POLYMED,Healthcare,-16.8,-16.8,16.4,16.7
POLYCAB,Capital Goods,35.9,35.9,46.1,11.34
POONAWALLA,Financial Services,702.0,702.0,141.9,25.53
PFC,Financial Services,8.0,8.0,11.5,93.41
POWERGRID,Power,8.4,8.4,10.3,58.66
PRAJIND,Capital Goods,,,-1.4,2.46
PREMIERENE,Capital Goods,53.5,53.5,13.0,27.01
PRESTIGE,Realty,1157.6,1157.6,134.1,16.18
PGHH,Fast Moving Consumer Goods,12.2,12.2,1.1,31.09
PNB,Financial Services,15.7,15.7,-2.3,44.09
RRKABEL,Capital Goods,72.4,72.4,42.3,7.11
RBLBANK,Financial Services,381.7,381.7,40.8,13.97
RECLTD,Financial Services,-0.6,-0.6,2.3,95.83
RHIM,Capital Goods,29.5,29.5,8.2,8.68
RITES,Construction,1.9,1.9,5.7,20.58
RADICO,Fast Moving Consumer Goods,62.3,62.3,19.5,14.87
RVNL,Construction,3.7,3.7,2.6,4.52
RAILTEL,Telecommunication,-4.1,-4.1,19.0,9.25
RAINBOW,Healthcare,5.6,5.6,11.9,24.1
RKFORGE,Automobile and Auto Components,-86.4,-86.4,2.3,7.19
RCF,Chemicals,0.9,0.9,-6.2,4.0
REDINGTON,Services,8.9,8.9,15.7,1.9
RELIANCE,Oil Gas & Consumable Fuels,0.6,0.6,10.4,11.85
RELINFRA,Power,27.4,27.4,9.6,16.03
RPOWER,Power,-40.1,-40.1,1.1,21.06
SBFC,Financial Services,33.7,33.7,23.4,61.38
SBICARD,Financial Services,45.3,45.3,26.0,24.01
SBILIFE,Financial Services,4.7,4.7,144.5,1.39
SJVN,Power,50.6,50.6,61.3,57.43
SRF,Chemicals,59.6,59.6,6.3,16.25
SAGILITY,Information Technology,23.4,23.4,35.7,19.66
