DATE,Equity,Benchmark_Value,Drawdown,Daily_Return
2021-09-24,212755.5314172379,129936.79714924398,-0.013291961382608353,-0.0006249681593235579
2021-09-27,211085.9302667252,129911.99009923071,-0.021035162537106022,-0.007847509953752607
2021-09-28,210089.04326461948,129112.71028882006,-0.0256584802577714,-0.004722659633667026
2021-09-29,210120.1928007523,129038.73182351112,-0.025514016339504675,0.00014826825639624452
2021-09-30,212027.29482101597,128745.36548761348,-0.016669344328757774,0.009076243434023912
2021-10-01,213862.6926481644,128414.36259704924,-0.00815721880118836,0.008656422413434006
2021-10-04,216805.5437834183,129844.42638624845,0.0,0.013760469854811497
2021-10-05,218038.8933927933,130690.7393611792,0.0,0.005688736495627067
2021-10-06,218817.59367965854,129445.85143015985,0.0,0.003571382493959163
2021-10-07,221143.49236129917,130776.70372439016,0.0,0.010629395207798709
2021-10-08,221656.644644014,131418.6049367032,0.0,0.0023204493934483317
2021-10-11,223461.3918669144,131955.73186101404,0.0,0.008142084916059611
2021-10-12,224353.04332565464,132416.7420692404,0.0,0.003990181262592651
2021-10-13,226367.6951506058,133695.41603302196,0.0,0.00897982837712985
2021-10-14,227027.79451584019,134874.4441696458,0.0,0.0029160493276003674
2021-10-18,226638.39555954136,135874.29357331188,-0.001715203890031436,-0.001715203890031436
2021-10-19,222950.84590744175,134776.93659326367,-0.017957927209278246,-0.016270630768434047
2021-10-20,222279.09450363315,133158.7150883578,-0.020916822199388063,-0.003013002265474518
2021-10-21,220591.4418794266,132465.92183707815,-0.028350505056615516,-0.007592493697957559
2021-10-22,219795.93885818636,131713.6835437297,-0.03185449461409118,-0.00360622794095089
2021-10-25,217528.9238813797,131154.7397794745,-0.041840122063986795,-0.010314180455669564
2021-10-26,217546.4093855301,132568.55787430477,-0.04176310284179119,8.038243300423353e-05
2021-10-27,219605.40865310823,132437.69024480716,-0.03269373196599534,0.009464643766789127
2021-10-28,218737.73976883088,129927.38383430628,-0.03651559389320014,-0.003951036040500844
2021-10-29,216430.96610550082,129038.30584386442,-0.046676348298842374,-0.010545842092763436
2021-11-01,219236.218623201,130884.04224281458,-0.03431992064784617,0.012961419376249284
2021-11-02,222480.33050064242,130986.2523003945,-0.02003042854244208,0.014797335485050578
2021-11-03,224164.32473282015,130713.40816041692,-0.012612859976579793,0.0075691825357697695
2021-11-04,226455.3641615311,131518.67674350756,-0.002521410893894571,0.010220357014621317
2021-11-08,230047.5384016434,132743.89443790022,0.0,0.01586261492816754
2021-11-09,231765.9910993973,132930.34823502015,0.0,0.007469989506054375
2021-11-10,235445.53150467074,132752.01310881367,0.0,0.015876101527317665
2021-11-11,238043.15342239535,131811.1827675697,0.0,0.011032793449609724
2021-11-12,238462.72053054965,133247.23532944891,0.0,0.0017625674257886192
2021-11-15,241480.5301618973,133363.5528306222,0.0,0.012655267979134965
2021-11-16,245149.7204389969,132788.79770418687,0.0,0.015194559472929914
2021-11-17,248693.37067703402,132186.2369651272,0.0,0.014455044989206467
2021-11-18,246589.26417068637,130882.75595133241,-0.00846064573663352,-0.00846064573663352
2021-11-22,243418.5403547684,128095.76323149163,-0.02121017664405611,-0.012858320602811113
2021-11-23,247934.9424188248,129217.05859717552,-0.00304965209223107,0.018554059429795267
2021-11-24,249676.6738488785,128692.761177518,0.0,0.007024953453763194
2021-11-25,253651.11444641268,129583.12545944202,0.0,0.015918349665054343
2021-11-26,250696.25530029452,125790.72889544396,-0.0116493048042271,-0.0116493048042271
2021-11-29,247689.9263604752,125356.66398800642,-0.023501525309469473,-0.011991918013367298
2021-11-30,252311.89541565097,125287.37965135319,-0.005279767974544547,0.01866030291619203
2021-12-01,252807.37647949375,126453.58663586584,-0.0033263720081040393,0.0019637641856977694
2021-12-02,257362.28524719394,128072.24247296051,0.0,0.018017309586176866
2021-12-03,259109.7818139664,127065.97831696778,0.0,0.006790025838844249
2021-12-06,258183.7629693619,125030.78955828666,-0.0035738474947631937,-0.0035738474947631937
2021-12-07,260932.8441613785,126879.52451984785,0.0,0.010647769481703762
2021-12-08,260566.43843017734,128921.55401050231,-0.0014042146835856473,-0.0014042146835856473
2021-12-09,263928.6757653824,129377.85338498879,0.0,0.012903570219792604
2021-12-10,267683.3246759049,129620.76201410861,0.0,0.014225998367301873
2021-12-13,272811.9765924088,128844.57698258237,0.0,0.019159400096040224
2021-12-14,279467.22637878574,128664.96391743579,0.0,0.024395005928644187
2021-12-15,284704.29959045566,127893.90734675403,0.0,0.018739489705213774
2021-12-16,287341.94778381503,127751.50485662736,0.0,0.00926451829899877
2021-12-17,285281.90100036777,125499.50081032186,-0.007169321428130537,-0.007169321428130537
2021-12-20,277117.87423645175,122313.9331343925,-0.03558155579517219,-0.028617401718398883
2021-12-21,273623.5413623062,123688.40240342729,-0.047742442505575355,-0.012609554269184309
2021-12-22,275115.86873199616,125213.82716569096,-0.04254888346833818,0.005453943627291791
2021-12-23,271725.8409304825,126169.1992827171,-0.05434677036811031,-0.01232218198513324
2021-12-24,269738.98942535557,125428.0782228931,-0.06126135948553968,-0.007311971133563411
2021-12-27,273452.62800567783,125965.20514720395,-0.04833725073996853,0.01376752611194143
2021-12-28,274199.62951629795,127164.76383228999,-0.04573755544180014,0.0027317401045587886
2021-12-29,273802.45344513096,127126.70965051878,-0.04711979731156646,-0.0014484923698387941
2021-12-30,272712.4922787491,126944.09802276119,-0.05091305191566586,-0.0039808305318939086
2021-12-31,273467.89761017,128262.54679198487,-0.0482841098581378,0.002769969666988281
2022-01-03,275104.92129181064,130044.98762696177,-0.04258698246596093,0.0059861639919951415
2022-01-04,275312.914394838,131021.31627209674,-0.041863130259098935,0.0007560500991792285
2022-01-05,275530.37592743075,131685.4603040008,-0.041106326269044646,0.0007898704391355871
2022-01-06,278244.69121978915,130776.26939220137,-0.03166003653204963,0.009851237937821056
2022-01-07,281860.73182342685,131276.1940940344,-0.019075585735612965,0.012995901513108699
2022-01-10,283829.9921841446,132533.4855500604,-0.012222216863068902,0.0069866431835969856
2022-01-11,284421.1668667618,132832.84065863802,-0.010164826053349896,0.002082847827560297
2022-01-12,282378.3739132706,134007.6006462529,-0.01727410114961303,-0.007182281740824692
2022-01-13,282642.1372952286,134462.1877496105,-0.016356158663344167,0.0009340778413824413
2022-01-14,282098.5789456192,134542.16334014147,-0.018247836344941537,-0.001923132745920375
2022-01-17,283338.99031280674,134977.08020687243,-0.013930988851025616,0.004397084777327587
2022-01-18,282347.08949493564,133196.76927012898,-0.017382976371543624,-0.0035007565205763536
2022-01-19,281088.1551382462,132336.3404990627,-0.021764287093487544,-0.004458818254303387
2022-01-20,281905.2933828751,131383.53261245883,-0.018920503751266637,0.0029070532845008046
2022-01-21,280901.7774374405,129841.42782363741,-0.022412913937716605,-0.0035597626897755363
2022-01-24,275588.2675497452,125832.20761947289,-0.04090485334536964,-0.018915899842886108
2022-01-25,275819.15623237763,126859.85428322117,-0.040101320535721796,0.0008378030192839336
2022-01-27,274917.5291419235,125555.52131013299,-0.04323913976959315,-0.003268906709635755
2022-01-28,274004.16524686967,125928.00292472614,-0.0464178051266646,-0.003322319598552559
2022-01-31,275216.97290346306,127623.2098100941,-0.04219702335098785,0.004426238029997309
2022-02-01,278513.91238710564,129288.90716425098,-0.030723100002618686,0.011979419179205308
2022-02-02,279706.0032226769,130804.0666522836,-0.026574416370571452,0.0042801841579618305
2022-02-03,279156.21219179314,129457.4029958731,-0.02848778486801562,-0.0019656032568099446
2022-02-04,279792.9831878869,129025.9023188578,-0.0262717109497973,0.002281056155240657
2022-02-07,279572.64354250114,127188.28459082107,-0.027038531273405386,-0.0007875095467915205
2022-02-08,279416.1133453576,127072.39306929446,-0.027583283608909492,-0.0005598909648674155
